Gene,WT_10,WT_12,WT_7,WT_8,mC4_4,mC4_5,mC4_6,mC4_7
ENSMUSG00000101235.1,0,0,0,0,0,0,0,0
ENSMUSG00000064433.1,0,0,0,0,0,0,0,0
ENSMUSG00000080625.1,0,0,0,0,0,0,0,0
ENSMUSG00000080391.1,0,0,0,0,0,0,0,0
ENSMUSG00000099257.1,0,0,0,0,0,0,0,0
ENSMUSG00000099492.1,7,11,20,10,3,20,19,15
ENSMUSG00000118548.1,0,0,0,0,2,0,0,0
ENSMUSG00000101726.1,0,0,0,0,0,0,0,0
ENSMUSG00000096829.1,0,0,0,0,0,0,0,0
ENSMUSG00000098883.1,0,0,0,0,0,0,0,0
ENSMUSG00000053185.2,4,11,10,9,7,3,7,0
ENSMUSG00000100261.1,2,3,2,0,0,5,0,6
ENSMUSG00000101180.1,0,0,0,0,0,0,2,0
ENSMUSG00000048874.15,6266,5258,7309,6353,6829,9525,8823,9472
ENSMUSG00000103783.1,0,0,0,0,0,0,0,0
ENSMUSG00000104315.1,4,2,2,4,0,0,2,0
ENSMUSG00000026064.16,42,29,15,5,13,20,30,9
ENSMUSG00000117310.2,0,0,0,1,0,0,1,0
ENSMUSG00000117091.1,0,0,0,0,0,0,0,0
ENSMUSG00000086726.3,0,0,0,0,0,0,1,0
ENSMUSG00000086727.8,2,0,1,1,0,2,3,4
ENSMUSG00000100237.1,0,0,0,0,0,0,0,0
ENSMUSG00000098529.1,0,0,0,0,0,0,0,0
ENSMUSG00000100910.1,0,0,0,0,1,0,0,2
ENSMUSG00000099796.1,0,0,0,0,0,0,0,0
ENSMUSG00000050217.13,2,0,0,0,0,0,0,2
ENSMUSG00000026063.4,2,0,2,0,2,2,1,2
ENSMUSG00000077664.1,0,0,0,0,0,0,0,0
ENSMUSG00000100205.1,0,0,0,0,4,0,0,0
ENSMUSG00000100592.1,0,0,0,0,0,0,0,0
ENSMUSG00000094215.2,0,0,0,0,0,0,0,1
ENSMUSG00000101093.1,0,0,0,0,0,0,0,0
ENSMUSG00000070960.4,12,2,16,0,15,14,8,14
ENSMUSG00000088620.1,0,0,0,0,0,0,0,0
ENSMUSG00000082159.2,0,0,0,0,0,0,0,0
ENSMUSG00000026058.11,666,447,729,583,538,771,733,576
ENSMUSG00000064688.1,0,0,0,0,0,0,0,0
ENSMUSG00000103482.1,10,10,6,2,4,2,10,8
ENSMUSG00000104498.1,0,0,0,0,0,0,0,0
ENSMUSG00000104313.1,0,0,0,0,0,0,0,0
ENSMUSG00000102865.1,4,18,0,0,0,0,0,0
ENSMUSG00000102321.1,4,3,0,0,0,4,2,0
ENSMUSG00000091318.2,8,45,18,0,13,14,14,2
ENSMUSG00000089489.1,0,0,0,0,0,0,0,0
ENSMUSG00000104433.1,0,8,6,0,0,0,0,0
ENSMUSG00000089395.1,0,0,0,0,0,0,0,0
ENSMUSG00000102926.1,0,0,0,0,0,0,0,0
ENSMUSG00000100497.1,0,0,0,0,0,0,0,1
ENSMUSG00000102917.1,0,0,0,0,0,0,0,0
ENSMUSG00000100481.1,38,18,36,60,7,36,41,19
ENSMUSG00000100590.1,0,0,0,2,0,3,2,4
ENSMUSG00000088750.1,0,0,0,0,0,0,0,0
ENSMUSG00000104230.1,0,0,0,0,0,0,0,0
ENSMUSG00000101754.2,0,0,0,0,0,0,0,0
ENSMUSG00000065223.1,0,0,0,0,0,0,0,0
ENSMUSG00000100318.2,0,0,0,0,0,0,0,0
ENSMUSG00000101612.2,0,0,0,3,0,0,0,0
ENSMUSG00000065260.1,0,0,0,0,0,0,0,0
ENSMUSG00000026134.11,474,365,428,380,415,654,573,598
ENSMUSG00000101682.1,0,0,0,0,4,2,0,1
ENSMUSG00000102714.1,0,0,0,4,0,3,0,3
ENSMUSG00000102093.1,0,0,0,0,0,0,0,0
ENSMUSG00000103746.1,23,46,17,27,36,45,44,17
ENSMUSG00000102198.1,2,0,0,0,0,2,2,0
ENSMUSG00000004768.14,2153,1957,2686,2153,2393,2994,3124,2849
ENSMUSG00000042215.8,716,668,1002,815,819,1003,1148,842
ENSMUSG00000103072.1,0,0,0,0,0,1,0,1
ENSMUSG00000042197.13,6413,4887,7363,6138,7342,8965,8366,8437
